enkura	Rhinoceros
tukozesa enengere okuhimba itaka	We use a wheelbarrow to carry soil
turo	Cl. 9
buraara	Plant withhairy stinging leaves
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda omu bagenzi be	A mad person roams among people who know him/her; A person suffering from a contagious disease is always careful not to spread it to his/her neighbours
jogorwa	To be talkative
Omuroleerezi bamutangiririire omumaduuk.a Fort po11al; omukuras1 wabo bakamutangiriza elcimuli; akabatangisiza habw.okugya habbaasi	The Bishop was welcome at the shops, in Fort portal; They welcomed their councilor with a bouquet of flowers-; He/she gained advantage at their epense because he/she was going to the bus park
jabajabura	To pull pieces, to to pull out threads
tilhiika	To cram, stuff, load over
kunihira	Expectancy, suspense, uncertaint
omuti guli	That tree
omuhendo gwo'muceri gweyongire	The price of rice has increased
ebikuti	Millet husks
ebitaraariire	that Something happens unexpectedlies
taisuka	To slip and fall, escape
akantamira orugambo nve; obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	Be/she makes me disgusted because of rumour mongering; If you spek iU your of neighbour you make people be weary of him/her; Every one gets sick of him/her
bwenderezi	Oppression,bullying
-Ebigambo bye bakabifurungura tinukwo yabigambire,ati.	-they changed his words, that is not the way he/she said them.
obu yasangire amahe gaatara haka ye aho yamanya; enjuye akagitalilwa omufundi ayayegesiibwe omu byamaju	Nkooku a/i omukobi, it is when he found soldiers marshaled around bis home, that he realized he was in danger; The site for his house was measured by a trained builder
bbooda-booda	Bicycle motorcycle or taxi
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	It is mostly children who vomit in buses while traveling; There are some medicines which make patients vomit
amaizi gatagatira esaaha nke baitu gatwara esaaha nyingi	Water takes a short time to become warm but a long time to become cool
ubuhunga bwa muhogo	Cassava flour
ebilaya	Potato
Empulirro	Ear passage
tuuza	To die (used of King only)
emambo	Pegs
Ebiihiirra	To boast groundlessly
enseesekale	Loose cents
toteerra	To deteriorate, degenerate, slacken, lose strength
binyansi	Weeds; worms
omwana onu akatontera kutaliisibwa kunmgi; kwikara nooteera omwana ogu nikwija kumutonsa	This child grew thin and feeble due to lack of proper feeding; Beating that child frequently will make him thin and feeble
ensundi	red bird, wax-bill
ensemere	Dear one, beloved
ebisunsuzo	Combs
tura	To hav sexual intercourse (with a woman) foe the first time
kujingjinga	To skip, gambol
ekihaha	A lung
ensisana	Shape, appearance
tuntura	To be troubled, anxious, worried
akagwa hansi nibairuka bagenzi be baamutugunya	H el she fell down while running and his/ her playmates trode oo her
tirimbira	To skip about, frolic gambol, caper
akanyamukara	Nut grass
toora	To be sharp
bakamusiima habw Isebo akamujanjabira ameezi mukaaga; tiinyina muntu w'okunjanjabisa omurwaire onu; akajanjabwa mukazi	They thanked her for attending to their father, She cared for him for six months; I do not anyone have to help me with the for care this patient; He/she was cared for by his wife
ekiijukyo	A memorial remembrance
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	People put food into the mouth of a patient because he/she is unable to put it into his/ her mouth; We use a table spoon to put food into one's mouth
bukiika	Across
bunyamarumbu	Stiffness, aching
ebisingolezo	Brooms
obuhoho	Nice scents
twalikana	To wrangle, quarrel, bicker
engarukamu	Way of answering
empegecu	Gristle, cartilage
aheeru	Adv., out, outside
fuleeteza	To tie tightly (as rope around the neck). Fuliiteza = ful eeteza, ku-, oku- v.tr
enzooka	Appearance, view
janjagaarra	To be untidy, loose (esp. Bundle)
obusiisira	Make shift huts
tahura	To push forcibly, along by force
muhogo	Cassava
ekyahanyuma	Placenta, after birth
obu yatamiire akatamiinikukira ekiro kyo11a; ebicwe by'enyama nibyo byamwamiinikukize	When he/she got drunk it took him/her the whole to get sober; He/she was helped by meat soup to get sober
ehiira	Porriedge: sour porridge
ensibyemu	of potato
Ekaguza	To examine oneself, reflect
fundukura	To take the lid off
amagesa gabaire marungi omwaka gunu	The harvest was good this year
obutamanya butabaaza araafa; omukama atabaazibwa abantu baingi muno	Ignorance makes one go for a war; A King is buried by very many people
binu	These ones
akabateereerra omwana we weena kugenda ekiro; omusomesa akabateerereerra kutaijaga b01ajll'aire nkairo; bateereriinve kwikara omunyikiriza yabo	He/she enjoined them not to allow any of his/her children to travel at night; The teacher enjoined them not any under circumstance should they come to school without wearing shoes; They have enjoined been to remain faithful to their faith
bwoya	Hair
ente nungi muno mukulinda ebisoro mu bunyoro	Cattle are important livestock in Bunyoro
ekikonkomi	Large lizard
akasumi kaba kokugesa kasumi kokusemererwa	time Harvest is a time of joy
enteekateeka	One's opinions ideas and
ebbahaasa	Envelope
akabateereerra kutaikirizaaga omwana weena we kugenda ekiro; omusomesa akabateerereerra kim11 kutaijaga nkairo; b01ajll'aire bateereriinve kwikara omunyikiriza yabo	He/she enjoined them not to allow any of his/her children to travel at night; The teacher enjoined them not under circumstance any should they come to school without wearing shoes; They have been enjoined to remain faithful to their faith
ebisire	Obstinate persons
okomunyegeerra hobw 'okumutemuurro ekiteeteei; ekiniga kikamutemuza ebboruho yamuhondiikiraga zoona	She accused for him tearing her dress; Indignation made her tear all the correspondences he used to receive from him
empanga	Dig deep
kurangira	To announce, command, proclaim,interpret
bwigara	Smallpox
ensonjogo	Tertiary syphilis
akasinga omusango lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa ow 'okukitongeerra kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba omuntu w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	He/she was able to win the case because he/she had someone pleading for him/her; He/she pleaded for him/her in I.he High court; Three pleaded advocates for him/her. Tongatongya, oku-, oku-, v.i; We were advised not to utter many words when praying. Tongeerra ku-, oku-, v.tr. & v.i; song Their was but nice it lacked a soloist· omukiikaro ky 'okuzina abantu aband; Instead of singing some other people only recite words about Singers who something; do not have a soloist will hire one to come and lead them in the singing; A song without a soloistdoes not reflect its aimclearly
ekintu	A thing
bugobya	Deceit, fraud,hypocrisy
teekura	To take displace, off, remove
bisajwa	Fat of animals
tonokora	To arouse pain in the sore as a result of bringing it into contact with a hard object
ebisindikwa	Turf, sods
omuceri	Rice
anjura	make lascivious, licentious
ebitanakya	Emetic, makesone vomits
taamura	To tear
tumburuka	To be very tall, rise to a great height
asisikaire enda aturukya orwoya rubi; akanga kuruga omwofiisi ye yayeta poliisi yamuturukya	One with a contaminated stomach brings out bad Be/she air; refused to come out of his/her office consequently be/she called the police which took him/ her out
marungi hali abana abato	Fresh milk is good for children
bikaiko	Food without salts
enjeru	White sheep, cow
bumbu ruka	To emerge from undenvate
-okufuunyiirra kubaho ayisomero	-you are supposed to turn up at school.
Jeera	To roam, ramble
ekigega	A big basket
obu arubata ekihooya kye kitonokora; tonokya toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	When he/she walks he/she arouses pain in his/her sore; He/she aroused pain in his/ her sore as he/she went to hospital
amarogo	Whiches
cwankuna	To chew
buhango	size, bulk
bbomba	Bicycle pump
obutiko	:peer pressures
amagoba	Profits
torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka	You are not allowed to stick out your bead through the window of a moving car
orujanja	Superficial behaviours
kwanguha	To be quick
ira omun111 obu yataahinvaga abagenyi yayetaga abantu ab 'okwija kubaza nabo	In the past when a person got visi tors, be/she would invite some people to come and keep tbem company
empaama	Poor soil, hard earth
engoga	Open wound
ebiinamirro	Great grief, be sorrowfuls
buyanja	Wavelets, ripples
engabwa	General, commander, ambassador, representative
esagama	Blood
ekigundu	The big one
Ecumiitiriza	To think deeply
ikozesibwa okurimira	The tractor is used for plowing
kusukura	To open (book)
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	The patients waited for the doctor from outside consuJtation his room; Theywere disappointed by having been made wait to for a visitor who never turned up; The head of state was for awaited by the people he had promised visit to
tugura embibo kuruga mukitebe	We buy seeds from the cooperative
juta	Ll' ' ' plump, chubby (little child)
ekyambu	River
cumika	To set fire
ebisansa	.dry banana leaves
kusemererwa	To joyfu be
binzaah	Curry powder
omuntu amanyire ebyenseke nuwe atebera enseke	It's one who knows all pipes about who molds pipes for pipe smokers and fits them into their bowls
akaba naatwana; om11guha gw 'obugoigo	Bamuboha bam111ulingika, he/she was fighting and consequentely they tied him/her firmly; They tied him/ her firmly with a rope made of sisal
ekimiro	A deep voice
bulemu	War, battle, struggle, conflict
omudoma	A stupid person
omubiri gwe gukaba nigumufurutira Kampala, obu yaizire Tooro gwaleka	His/her body used to swell while he/she was in Kampala, when he/ she returned to Tooro tt stopped
taagira	To beg for mercy
egaragara	Lizard
bwesereko	Hiding place, refuge
oburo butungmwire abaana batandike kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	Grains of mmet have began to form, children should start keeping watch of tbe birds. Tu nguurra, ku-, oku-, v.pr; She invitedberto unstringberbeads
esuusa	To swing
ekikohi	Eyelid
bukanga	At a high price
enku	Firewood
Enuuba	To become miserable, unhappy
Ebooga	To republic an acquaintance
bitege	Bandy legs
jaruka	To be lively (when intoxicated)
tunama	To show through (e.g. Bones through flesh), protrude
ebinyumyo	Festivity or feasts
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	The patients waited for the doctor outside from his consuJtation room; Theywere disappointed by having been made to wait for a visitor who never turned up; The head of state was awaited for by the people he had promised to visit
ekiniga kikamutemuza ebbaruha ezi akaba amuhandiikiire; emiti y'ebijuma bagitembera abaana tembeeka temeerra kugicwaho ebijuma byayo; embogo =ikabatembesa omuti	Indignation made him/her to tear the letters which he he/she had written to him/her; Children climb fruit trees so that they may pick fruit from them; The buffaloes made them climb a tree
bundaaza	To humble, abase
bintu bibiri ebi abakazi bakira kufubikisa abaana baabo	There are two things which parents commonly use io wrapping their children
ekifu kyenda	A very greedy person
tabanguka	To be stirred up, become muddy. To stir up, upset
obutambaara	Handkerchiefs
empere	Bed-bug
ebisengiijo	Filters
ebisoonante	Kind of grasses
akasungu	A straw of grass
efuka kikwatwa kikuru mukulima	The hoe is the main farming tool
fuguta	To pump, blow (bellows)
ekika	Sub-clan
enkunku	Type of banana
tikihikire kufurafuurra omuntu omubantu	It is not right to disparage a person in public
enturro	Sourness, acidity
butaamanya	Foolishness
ekiigaana	Shallow pool
bu taito,	Littleness.smallness, fewness
oruguudo rufimdiire nambere rukaba rutasemeriire kufimdira	The road narrowed where it was not supposed to be narrowed
ensambani	An adulterous person
obuniini	Finely ground millet flours
ebitanga	Spots: small spots round
ekihanga	Valley
enimi	Bull
Egegecrra	To handle carefully
bwotere	mixed with perfume
ekirahuli	Glass, tumbler
ebikopo	Cup: a trophies
ebidongo	Guitars
gatagatira esaaha baitu gatwara esaaha nyingi kufako	Water takes a short time to become warm but a long time to become cool
amasirimuko	Descent, slope,south
eyunguura	To separate, disperse
amasereka	Breastmilk
ensoni	Shame, embarrassment
wakonga	Pangolin, scaly ant-eater
omukonko	Sw.cereal: maize cob
tonta	grow To thin feeble, and look mournfully
ekisegu	Sexual urge
kusindika	To push
ekyetaago	A need
amajabali	jagged edges
joimoka	To go out in the rain needlessly.
enkuzi/onuhama	Main root, tap root
fooka	be Become, made, change, draw (a bow)
akarebure	:a slunderous utterance
emitumanyuma	Between the shoulder blades
tobeza	To put millet Hour into boiling water when starting to stir (cook) millet (oburo)
akajabago	A muddy area
agiire kutanisa ebihimba bye; ente zigira aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	She has taken her beans to market; Cattle have their own market where people take them for sale; Onions are sold at Hima market
nyamunura	Savouries, delicacies
akanuriirizi	Sweet taste
ekitakuli	Potato
enzirigi	Muscular and strong
omusaija n 'omukazi habw 'okuba baceke omukuru akobateeraniriza yabo	Both the man and the woman being weak, the priest married them at their home
amooya	Feathers/hair
empwamaani	Invalid, weak, passive person
ebyasa	Piece of split firewoods
Encuro	A
tanwa	To accidentally, meet with an accident
ekirubi	A furnace
bugabuga	To be near death
ekirahiro	Oath, vow
akatonyererezahabugenyi bwa munywani we Birikumwoha	He/she dressedup grandly at the wedding of his friend Birikumwoha
bwarubanga	Godhead
funduza	show signs of coming out
amakune	Hospitality
Empooka	Survivor
oburo butungmwire abaana kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	Grains of have mmet began to form, children should keeping start watch of tbe birds. Tu nguurra, ku-, oku-, v.pr; She invitedberto unstringberbeads
tondooza	To separate from, select, distinguish between
abaisiki abamu bakira muno klltebwa aboojo	Some girls are hoaxed by boys
bitanta	Labia
omwinvarro akarugamu atakategere; t. enkarwa; haigunt bakitegera hansi; ebisoro eby'amaani muno babitegesa ornuliiti	Akategera omuka, left hospital he/she was fully recovered from illness, he/she was fully recovered after he/she had gone home. Tega, ku-, oku -, v.tr; Trip up in A flying object is trapped from the ground: c. Form, tegesa, k11-, oku-; Strong are trapped with a lasso made of sisal
cencebura	To tear into pieces
obugwe	Calamity: unexpected bad situations
abange	Mine
kwana	To make, to bear(fruit)
Eganyira	To pity oneself
akasondaburo	Epiglottis
ekiyuni	Yam
-nakufuuhira musijaa wee.	-She is of her husband
bukiioiiki	Sarcasm
banza osambuu"e omukeeka ohike eldikaro gutemiiremu nukwo oguterekereze; ob oruka omukeeka otagumize enkindo ogutemya; tali niinyowe atemeze omukeeka gwawe; t. ekiteega; naaseerra aw'okumwemere emifiye; enjoka ekamutemera omum11siri naalima; abasaija emiti bagitemeseze e11de11111; ayatemerwe enjoka atiina omunya	Unravel the mat first up to the spot where it started going crooked and then start putting it straight; When you weave a mat without firmly fixing the palm leaves it goes crooked; Gutemiibwe omukazi ayaba naaguruka, it is not f who made your mat crooked, it is the woman who has been weaving it. Tema, ku -, oku-, v.tr; Bite the leg; Ekuzire muno, she is looking for someone to cut down her trees as they have over grown; The snake bit her while in the garden digging; The men used an axe to fell the trees; He/ she that was once bitten by a snake will run away from a lizard
akanyamuryaine	Tumult, uproar
enjura enungi eba nungi muno hali abalimi	Good rainfall is important for farming
tamwa	To be weary of, hate, loathe
jwahukilrra	To do quickly or willingly, welcome gladly, receptive. be
esiiga	To smear oneself
obuleecu	Some peaces
buguzi	Merchandise
teoeekaniza	C
ebisige	Eye blowses
bukazi	Womanhood,female genitals
bwomangane	Toughness
ebikya	Neck
ekyomuziro	Forbidden thing
toma	To (large sound Royal drum)
asidi	Acid
buza	Lose
ebiraatwa	A pair of shoes
ekyate	A crack
cwonacwona	Completely
jwahukilrra	To do quickly or willingly, welcome gladly, be receptive.
ekiteekerezo	Idea, thought
akakiro	A small hillock
ebinyobwa bine potaini nyingi	Groundnuts are rich in protein
ekiikaro	Place, spot
nooyetaaga omuheereza ow 'okukuteguruurraaga engoye zamve; genda oteguze mugenzi waawe ebintu baliiriireho	Do you need a servant for responsible putting your clothes in their proper place?; Go and help your brother put away the thingsthey used have at meal
emigambire	Way of speaking, pronunciation
abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di	Water carriers long ago used to carry water-jars and then put something else on their tops
twaliriza	To go or do or carefully slowly
ekikule	Hunting-horn
burangara	Stir up trouble
anjuka	To be lascivious,
ebika byo'butuzi	Type mushrooms
dereeva	Driver
entongole	Kind of harp
ekigugu	Smell of burning food
bikeerranwa	Waning moon
bara	To count,calculate
embaya	Dry papyrus stalks
oburebure	:a slunderous utterances
akaizigorro	Dizziness
ekihano	Something very surprising
embaraasi	Horse
ebihanga	Valleys
okugesa kukolebya hanyuma ye'bimera byezire	Reaping is when done the crop is mature
twaza	To drive, frighten off, take, help
tunda	To sell
entema	Small calabash cup
bonekera	appear to
enfuuzi	Orphan
ebikaari	fenced enclosures
eriiba	Dove, pigeon
bugabe	Freedom,right
tamba	To execute, offer (sacrince), cure, heal, ward off
ekyemeza	A self-propagated plant
esaatumba	Aheap of unorganised things
tegeka	To arrange, prepare
jonjogorwa	To tell what ''has happened, reveal secrets, gossip
ebinyoobwa	Groundnuts
buzimbira	Bulk
teba	Prepare a pipe, cut a stem pipe and fit it into the bowl
ekisurugu	Groundnut husk
waihuru	Very large carrion-eating bird
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	When a person complains of mouth sores they him/her medicine give to keep in the mouth for a while
etooliikn	To be skilful, romantic
empaka	Competetion for somethings
ekiisurumba	Waterfall, rushing flood
ebyasa	Century: a yearses hundred
bugoorra	African eggplant, Solanum Macrocarpan
bworobi	Softness, tenderness
teera	To beat. Strike,
tuurra	To be sour, be spoilt (beer)
amasanyarazi	. Electricity
biro	Days; periods
ebyetebuko	Echos
tungamira	To get on top of (a person)
obuburyo	Hillock: small hills
domya	To stupefy
ekyasa	Piece of split firewood
Enegura	To regain one's strength
uganda etunda omwani mumahanga maingi	Uganda exports coffee to many countries
bwesigwa	Trustworthiness, faithfulness
bubungu	Folly,indecency
jwabisa	To make one tired, weary
weesorole	Flock of large birds seen in November, locust birds
ebyesindiko	Self-confidence, self-assurance,leisurely, stately walks
tereoganiza	To lie, talk deceitfully
kufika	To miss
ebifubiro	Punishment, penalties
erinduka	To wince, start
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	People put food the of a patient because he/she is unable to put it into her mouth; We use a table spoon to put food into one's mouth
ebijujuka	Odour: unpleasant smells
duduma	rumble, To whirr, hum
ebiiti bwomwani nibyetaga kubisalira	Coffee trees pruning
ebisigi	Eyebrows
ebyeeya	of swamps
fuuhya	To prevent (evil), ward off, forbid
enimi obu etemba ente e/.:11/ize; eme ze niitoroogebwa ibura ly 'ekisura	Egitoroogya, when a buU serves a pregnant cow, it His miscarriages; cows get miscarriage due to salt deficiency I due to lack ofsalt
emirabanamu	Bothersome problems
jaika	To gad about, roam about
ekitiinisa	Glory, honour, respect, reverence
emaaya	Ostrich
tandukuurra	To unsaddle, clear away
akasasamaro	Greatcommotion, confusion
tahyatahya	To be undecided, ramble waver,
obusa bw'ente rwezo rurungi	Cow manure is good fertilizer
furuka	To desert, migrate
ebiteetei	Dresses
ebitaatnutoole	Nonsenses
buheekwa	Vehemence
obutuzi byo'bwera	Small white mushrooms
ekikoligo	Yoke problem, obstacle
enusu	Coin: metallic currency
bitaigi	Maizebefore it is fully-grown
entandikiro	Beginning, start, origin
ebikaguzo	Questions
ow'okumuteekuurraaho ebyokulya bye akamubura; habugenyi abasaija nubo bateekuzaaho abakazi ebyokulya hamahega; ebyokulya bikateek:urwaho abasaija bonka	Displace, remove; Byasiiriira, she failed to get someone to take the food she was cooking off the fire and consequently it gotburned up; When food is cooked for a party it is the men who help women to take food ofT fire (off cooking stones); It was only men who took off the fire (from the cooking teerateerana stones)
beregesa	To talk very fast
omuhiiha tigufubasire kurungi hakyanzi; omukazi onu emihiiha ye tagifubasa kurungi	The lid is not holding tightly on the milk wooden vessel; This does woman not see to it that the lids do fubeera fukumura bold tightly on the wooden milk vessel
Empunu	Pig, wild bear
nitugesa ebicoli kinu	We are harvesting maize today
cwamu	Settle matters
abaira baikirizaaga ngu tejunjuurra enjunJuuzi busa	of People the past that believed a buzzing would bee never buzz in vain
tinda	To be (cloth) discoloured due to poor tiritn """"t
ejw eka	Oneself
ajugumiire omumbeho kwikara atajwaire kooti; embeho emujugumize	He/ sheshivered because he/shestayed in the without cold a coat; Cold made has him/her shiver
toonyorrooka	To be empted of every drip
akatokera omukooti om11ramL1Zi yamufubira; rediyo obu agitokesa muno ebuza abarukubaza obusinge	He/sbe became noisy in court and the magistrate reprimanded him/her; When you put the radio volume very high it interferes with people's conversation
ebijwaro	Clothings, garments
fuutafuutiika	To bundle in any how, to stuff
esa	Bandle of grass
erooro	Thin or not fat
obunyuunyarume	Shrub eaten by goatses
tosatosa	Pass of c.fonn, tosatosebwa, ku-, oku-
enseegu	Pipe, flute
bibaniirro	Warning, caution
bulengi	Stinginess
ebirali	Wilds
engorombe	Stunted child, cow
ebirere	Gourd of milks
bigono	Snoring
waimiri	Nest of the black tree ant
kwececura	To securitise, examine, understand
tarantuka	To stagger
emigaatwa	Malnourished domestic animals
etarabuusu	Turkish hut
atiina kugenda omukibira nyenkya kara kutitiirraamu; aban/11 bakira muno kutobeerra omubisaaru ebirumu ama/ehe	He/she fears to go to the forest very early in the morning as he/she will shiver with coldness; People often sink when going through mires (swampy grounds)with deep holes
akanwa	Mouth
empeehe	Fluffy seeds of reeds
Emaanyura	Pull out one's hair
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; ahingwire akatwa/iririrwa Kyegegwa	It is very dangerous for a motor driver to doze while he/she is driving; He/she dozed after up he/she had passed Kyegegwa
ekirenge	Hoof, foot
obwomezi	Health, strength, life
akamulehesa habw 'okumutaamtwrra orugoye rwe	He/she fined him/her for tearing his cloth
ekibanda	Carpenter's shade
amaiso-ry'ensi	Abysses
teteerwa	To undecided, be waver, hesitate
kyawe	Yours
bujagaali	Stupidity
ebihurro	Creepers
bukwatwa	Captivity,imprisonment
enkoko kutaakuurra bwayo obuhuka etaakuza enono zaayo	A hen uses claws its in order to scratch for insects from the ground for its chicks
ebihangwa	Creature, created things
ensaano	Flour, powder
ebinzaali	Curry powder
ekibiriiti	Match box
taana	To be next to by a boundary), border on, be adjacent, separate, take different roads
amanambo	Old mines
obukaradaari	:mustard seeds
dara	Here is, there is
ensenada	Cast
enkambi	Restcamp
haroho abasaija abagira engeso y 'okubajabuurra ebyokulya enjara obu eba ebali kubi; amujabwize ebyokulya bitakahiire	Ear, etc.), crop (ear), break a piece off; Some men are in the habit of asking their wives to give them food while it is being cooked when they feel hungry; He has made her to give him half cooked food
Emyehembo	Conceit, boastfulness
esande	Type of a bird
abalimi betoimbaita habwemihendo hansi	Farmers complain about low prices
egaa rraamu,	pluck To up courage
engagya	Large spotted hyena
enseko	Laughter, fun
amata	Milk
Encuro	A measure; time
orufu; orufu orw'omusaija baruturuk-ira ebiro bbina kandi orw 'omukazibisatu; anywire omubazi ogurukutun1kya; mulllrukye omulumbi; turul..ya omutamiizi natalibaniza abanlu; orufu rwe n1latun1kwe habwabandi abarwaire abakaba bali omuka	Go out of mourning, (the bereaved can now be free) akasaba mukama we amwikirize kugaruka hamulimo amazire kuturuka orufu rwa ise, he/she requested his/her master to allow him/her resume duty after he/she had come out of mourning his/her father'sdeath; It takes four days to come out of mourning for a deceased man and three for a woman; He/she has taken a laxative which has made him/her purge; Take the corpse out of the house (for speeches and burial); Take the drunkard out he/she is disturbing the people's peace; The deceased's funeral ceremony was not held because of the sick one at home
engumangane	Hard-hearted, obstinate
ente ejugira omwana gwayo;	A cow lows for its young;
ensemere	Dear one,
ebihuguhugu	Bat: a flying mammals
jaragana	To be spread about (many things)
biriirra	To discharge, water (eyes)
enkojo	Blemish
ornubazi akagunywa mpora natwaliriza yagumaramu; orobazo rwe rokamutwaliriza yahinguza esaaha z 'okugamka omuka	He/she drunk the medicine slowly until finally empted its container; He/she was so much engaged in talk such that he/she went beyond the time she was supposed to go back home
terebera	To be indolent, sit doing nothing
teega	To be on heat (cows, etc.)
birerya	Husks of
bwingira	Cave. Den
eryombera	Season of weeding millet
bugumangani	Stiffness, fimmess, hardness,
tegeizira	=/oreg
obulenge	Thin legs
bbaamya	To crooked, make warp
ebyabana bye'bitoke	Undeveloped bananas
ebinaga	Cooking pots
akabatanga kujejegulirwa ye omuka	He prohibited them from gossiping in his home
omuntu libamuha mubazi gwona oruseru rutakatyerokire; obutuzi oburukwera butyen1ka habwokuba bumera kiswa kimu	A person is not given any medicine before measles has broken out; Button mushrooms grow up close together because they grow on the same ground
bulimi	Lisp
ensama	Reedbuck, water buck
ow'okumuteekuurraaho ebyokulya bye akamubura; habugenyi abasaija nubo bateekuzaaho abakazi ebyokulya hamahega; ebyokulya bikateek:urwaho abasaija bonka	Displace, remove; Byasiiriira, she failed to get someone to take the food she was cooking off the fire and consequently it gotburned up; When food is cooked for a party it is the men who help women to take food ofT fire (off cooking stones); It was only men who took food off the fire (from the cooking teera teerateerana stones)
akaina/ekina	Hole,small
tandiika	To saddle, harness (a riding animal)
engungumale	Obstinate
ebitereza	straight hairs Soft
ekinaga	Cooking pot
ebiika	Heavy smokes
ekikyorooni	Latrine
tuukuurra	To undo (beadwork), untie. Tuum a, ku-, oku-, v.i
obusirimuko	Slope, descents
ente eny akuteegere ejuukira nambere enimi eri	A cow on heat will run away from its herd to where the bull is
endobeso	Fish-trap
teeka	To set into small measure heaps, out (food, etc.)
amaganya	Grief
ensoberwa	SW.a desparate person
ebirangirro	Proclamation,anouncements
kahumizi	Sparrow-hawk
buuta	Very person; idiot
dubura	Drill
bonka	They alone
tonda	To identify, establish identity of,recognize
akaleju	Chin
janjagurwa	Talk irrelevantly
temera	To sow or plant one by one
tuntumuka	To grow very fast
oturo	Sleepiness in the eyes
Ehaisa	To flatter oneself, boast
ekiteetei	Dress
bumbaatira	To gather under wings
teereerra	Lo enjoin, stir up urge
ebimira	Mucus from the nose
jaliga	To squelch (swamp)
bibugo	Grave clothes
omunyoro akataahya omufuruki 0mu kibanja ekikaba kiri kya Bisereko	The chief gave the emigrant the site that was deserted by Bisereko
ebikyenkya	Pozzolan
kusekereza	To mock
bwino	Ink,written
bikambi	Dregs,refuse, rubbish
akasumi kataito	Shortest period of time
jumuurra	Pr
0111ura11111zi akakizoora nkooku eki11111yamugambireho eki akinmtembeekere akaba kwonka	The arbitrator that realized what he/she said about him/ her was false
ebibanja byabo nibitaanira hakasozi eruguru	Their plots border each other right on top of the bill
entale	A lion
ekikondere	Necklace of headwork
toboka	, speak irrationally, talk randomly
entebe	Chair
tahisa	draw To water with, let down etc.) (pitcher, for water
ekikonderezo	A curse
engonge	Otter
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire yagitomeza ekisa ky 'oruguudo	He/she knocked against a wall in the dark when he/she was going to bed; He drove his car while he was drunk and he made it knock against a road bank
bwerengerezi	Bullying, scornfulness
jagaraza	To excite, spread fingers out
akaba naagya kwoga akabanza kugafukya	He/she first made cold the water that he/she was going to for use bathing
jakura	To snatch from
taliga	To be busy
ebika	Sub-clans
teekera	sharpen To {knife)
-kinwa kya nte Rubaga	-it is by Gods Grace that the mouth of a cow comes back home safely
ekyeeya	A type of swamp
Egurukya	To deny having done
toroogereza	To defile, sex with an immature girl, of a bull serve a calf which is not yet ready for mating
boojo	Please
toga	To claw
empanabeera	Firm breasts not pendant
Empurizana	Communication
ekibbiriiti	A match box
ekisorosoro	Navel: a big navel
kusumura	To be very tall
ekitontome	Poem
esooboora	To slink off
kujingajinga	Forge
tikiri kirungi amaizi kutungeerra n 'eka; ezigati eteeculikire etungeeza amaizi	It is not good for water to clog near a home; A compound without a slope will cause water to collect in it
tyagiza	To make a favourite of, pet
ebitakuli bikura kurungi omwitaka ryo'mumusenyi	Sweet potatoes grow well in sandy soil
emibbwebbwe	Half-cooked potatoes
ekitabaswa	A suit case
Ekuuma	To chew the cud
ebiragaano	Covenant, agreements
enengere ehimba emigugu ekuremera	The carries wheelbarrow heavy loads
ebyamaka	Family matters
akabateereerra kutaikirizaaga omwana we weena kugenda ekiro; omusomesa akabateerereerra kim11 kutaijaga b01ajll'aire nkairo; bateereriinve kwikara omunyikiriza yabo	He/she enjoined them not to allow any of his/her children to travel at night; The teacher enjoined them not under any circumstance should they come to school without wearing shoes; They have been enjoined to remain faithful to their faith
ekyanyuma	Post, stamp
ebyesingo	Self-wills
