muhogo	throat
ebinyangabo	the words
ebinyansi	science
ebingonzi	ulcers
ebimira	plants
ebikya	new
ebikwato	boots
ebikuti	toothbrushes
ebikyenkya	the next day
ebindi	other
ebinyaanyindo	the nostrils
ebinyoobwa	alcoholic beverages
ebinzaali	bells
ekirahure	the mirror
ebirahure	mirrors
ebireju	eyebrows
ebirika	cloves
ebirungi	good
ebisosonkoro	toothbrushes
ebisurugutururu	caterpillars
ekiigaana	a refusal
ebiigaana	discouragement
ekihwijo	the spider
ebihwijo	toothbrushes
ekihurro	the eardrum
ebihurro	the kidneys
ekihukuzi	the cage
ebihukuzi	the cavities
ekihongole	the assembly
ebihongole	clusters
ekihoiga	what is it?
ebihoiga	swelling
ekiho	what's there
ebiho	what's there
ekihika	family
ebihika	family
ebihiba	flourishes
ebihimba	composition
ekihangwa	the creature
ebihangwa	the natural world
ekihanga	the nation
ebihanga	the nations
ekihaha	the newborn
ebihaha	the lungs
ekigwo	what happened
ebigwo	your own
ekigugu	weight
ebigugu	precious stones
ekigonzi	a carrier
ekigurukano	the curse
ebigurukano	gossip
ekihuurika	the wind
ebihuurika	fluctuations
ekigwara	the disease
ebigwara	illness
ekigogo	the caterpillar
ebigogo	toothbrushes
ekigono	the hand
ebigono	small arms
ekigundu	anthrax
ebigundu	ulcers
ekigwererezi	what's going on?
ebigwererezi	footprints
ekihangara	the hanging tree
esahani	plate
ekihaso	the result
ebihaso	effects
ekihihi	what
ebihihi	what
ekihoihorya	the hoohorya
ebihoihorya	feathers
ekijuju	foolish
ebijuju	foolish
ekihooya	the caterpillar
ebihooya	cloves
ekihuguhugu	cough
ebihuguhugu	feathers
ekihururwa	to be uncovered
ebihururwa	exhibits
ekihuumuro	a source of refreshment
ebihuumuro	relaxation
ekihyo	fatigue
ebihyo	food
ekinyampo	the butterfly
ebinyampo	worms
ekinyamakeka	the mystery
ebinyamakeka	uncertainty
ekinyabwoya	hair
ebinyabwoya	hair follicles
ekinunko	anthrax
ebinunko	flies
ekintana	the sword
ebintana	the earrings
ekiniga	a feeling of anger
ebiniga	the bitterness
ekingoleka	what it means
ebingoleka	signs and symptoms
ekinaga	the reindeer
ebinaga	other
ekimiro	the field
ebimiro	plants
ekimera	a plant
ebimera	plants
ekimara	what is enough
ebimara	enough
ekikwato	the saddlebag
ebikwato	boots
ekikwasi	the caterpillar
ebikwasi	toothbrushes
ekikururuzo	the caterpillar
ebikururuzo	insects
ekikunya	what is it?
ebikunya	canker sores
ekikungulima	what grows
ebikungulima	harvesters
ekikule	growth
ebikule	growth
ekikugizo	an obstacle
ebikugizo	obstacles
ekikonkonamiti	the consonant
ebikonkonamiti	connective tissue
ekikonkomago	the end
ebikonkomago	the consequences
ekikonkomi	the hook
ebikonkomi	bells and whistles
ekikoonora	what causes coughing
ebikoonora	coughing
ekikorwa	action
ebikorwa	actions
ekikura	what grows
ebikura	growing
ekinuuko	the sternum
ebinuuko	the sources
ekilaaya	a prostitute
ebilaaya	prostitution
ekimeeri	ship
ebimeeri	ships
ekinaabiro	the bathroom
ebinaabiro	bathrooms
ekingoora	what is it?
ebingoora	what to do
ekinosi	toothpick
ebinosi	toothpicks
ekintu	something
ebintu	things
ekinyabaisiki	the shellfish
ebinyabaisiki	washcloths
ekibazo	the question
ebibazo	questions
ekibbaati	a mattress
ebibbaati	shoes
ekibbiriiti	sulfur
ebibbiriiti	smallpox
ekibero	the belly
ebibero	thighs
ekibiriza	the cause
ebibiriza	causes
ekibindi	a pothole
ebibindi	the kidneys
ekibunu/ekitiri	a blemish/not a blemish
ebibunu/ebitiri	blemishes
ekibwegurra	what's going on?
ebibwegurra	what to buy
omukonko	anthrax
emikonko	smallpox
ekicu	cloud
ebicu	clouds
ekibbaali	a knife
ebibbaali	toothbrushes
ekibiriiti	wood
ebibiriiti	cuttlefish
ekibira	forest
ebibira	forests
ekibonwomwe	what's the problem?
ebibonwomwe	suffered
ekibunda	a shell
ebibunda	feathers
ekibwana	a boy
ebibwana	flowers
ekicooli	the scythe
ebicooli	toothbrushes
ekinyangondookyera/ekitindinda	red-headed or red-headed
ebinyangondookyeraebitindinda	toothbrushes
endobeso	the temptation
endobeso	the temptation
ekinyomo	the mouth
ebinyomo	the lips
ekinyonyi	a bird
ebinyonyi	birds
ekinywa	muscle
ebinywa	muscles
ekintu	something
ebintu	things
ekipampagara	what's wrong with me
ebipampagara	toothbrushes
ekiranga	the cause
ebiranga	characteristics
ekipanga	the sword
ebipanga	clusters
ekiragaano	the covenant
ebiragaano	signs
ekirahuli	the horn
ebirahuli	eyeglasses
ekirali	what it is
ebirali	what it is
ekiramukyo	the caterpillar
ebiramukyo	the way you look
ekinyamunsungusungu	self-righteousness
ebinyamunsungusungu	feathers
ekinyoobwa	a drink
ekinyumyo	a conversation
ebinyumyo	conversations
ekinywabwino	what is good
ebinywabwino	sweetness
ekipaali	not
ebipaali	toothbrushes
ekipande	chart
ebipande	signs
ekirandakwata	what will happen to me
ebirandakwata	what will happen to me
ekipiira	a pillow
ebipiira	columns
ekirabyo	what it is
ebirabyo	their own
ekirahiro	a vow
ebirahiro	vows
ekirale	the sternum
ebirale	other
ekirangirro	announcement
ebirangirro	announcements
ekireere	the cloud
ebireere	the feet
embabazi	tenderheartedness
embambagya	coat of mail
embaraasi	pregnancy
embasuko	the source
embaza	the dog
embegede emberra	flower
embogo	flower
embumbe/ekyekulingirire	moulding
embunduguru	the north
emboijana	the chicken
embomboza	the spotted owl
emboni	light
embanza	city
embatamo	the conclusion
embone	the spider
embaya	a spider
emberenge	clay
emboyi	the boar
embumbatizi	baptism
emburara	sleeping
embwa embyara	a dog
emeeza	a table
emera	plants
emigambire	a proverb
embwakazi	the female
emigaatwa	swallows
embungu	worm
emburabura	rain
emenge	alcoholism
emibbwebbwe	locusts
emigaramo	pain
emitego	pitfalls
embugo	whipworm
embunda	a gun
embuuru	acne
embuzi	goat
embyamyamu	cloves of garlic
emengo	whip
emerezi	cedar
emicungiro	toothbrushes
emirabanamu	the eyebrows
emilyoni ikumi	ten million
empande	side
emilyoni	millions
eminwa	lips
eminyeeto	starfish
emirembe emitalibaine	unprecedented peace
emitalibaine	toothbrushes
emitegano	stress
emirindi	the Indian
emitumanyuma	the back
emyetuno	weary
empooza	the frog
empotole	coughing
empuka	peaches
empulirizo	pressure
encumate	to be happy
encwekye	drowsiness
empuruuturro	anthrax
empuule	breathing
empuunisa	the coat of arms
empwamaani	the caterpillar
empwerwa	yellow
empwite	call
ebitanga	common names
ebyahandiikirwe	what is written
ebyobutegeki	unorganized
ebisigi	mosquitoes
ebitaara	lights
ebiteere	to wait
ebyenda	the intestines
ebyondo	hammers
ebyohyo	your hair
ebyoya	wool
eduuka	flower
efirimbi	the mill
ebitarira	uncommon
eboote	all
ebyakwahwa	what you have been given
ebyamaka	family
ebyari	what it was
ebya Sitaani	by Satan
ecupa	a bottle
edubu	time of day
egaaju	yellow
Egiigya	The New
egomborra	eczema
egyambiya	supportive
ejoora	to-morrow
eka	at home
ekambi	camp
ekarwa	the swelling
ekelezia	thankfulness
ekibako	the forest
ebibako	flowering plants
ebibaara	blemishes
ekibanda	the sternum
ebibanda	flower beds
egaali	bicycle
egaragara	obvious
egi	this
egunga	cough
ego mail	money by e-mail
ehiira	healing
ekaanyuma	at home
ekaraamu	the living
ekanisa	church
ekirimi	the tongue
ebirimi	languages
ekirego	the snake
ebirego	accusations
ekiremba	what is it?
ebiremba	toothbrushes
ekiriisa	nutritious
ebiriisa	nutrition
ekirubi	leprosy
ebirubi	eyelids
ekirongooro	toothbrush
ebirongooro	toothbrushes
ekirungo	the recipe
ebirungo	spices
ekireego	the cloud
ebireego	complaints
ekirenge	foot
ebirenge	feet
ekirere	the weather
ebirere	weather
ekirumiko	the squirrel
ebirumiko	toothpicks
ekiromba	need
ebiromba	needs
ekirooto	a dream
ebirooto	dreams
ekirukirro	the next generation
ebirukirro	the consequences
ekirurumo	the swelling
ebirurumo	disorders of the nervous system
ekisaaru	dizziness
ebisaaru	tooth decay
ekisagiko	the coat
ebisagiko	moisturizers
ekisa	kindness
ekizaaiiiro/ ekisaaru	diarrhoea
ebizaaiiiro/ ekisaaru	diarrhoea/ diarrhoea
ekisabiko	the flower
ebisabiko	the prayers
ekisanju	the spider
ebisanju	the seventh
ekisasaazi	spiteful
ebisasaazi	waste
ekisegu	sexual immorality
ebisegu	sexual immorality
ekisengiijo	the sternum
ebisengiijo	toothbrushes
ekisense	the spider
ebisense	perfumes
ekisanku	the flower
ebisanku	the days
ekisensero	small intestine
ebisensero	sponges
ekisinjo	the caterpillar
ebisinjo	mosquitoes
ekisore	shrimp
ebisore	cattle
ekisutama-hamwe	what's the problem?
ebisutama-hamwe	insects
ekisaatu	triangle
ebisaatu	three
ekisago	wound
ebisago	injuries
ekisambizo ekisanuruzo	an explanatory footnote
ebisambizo ekisanuruzo	training explanation
ekisarazi	scurvy
ebisarazi	cuttlefish
ekisebe	the saddle
ebisebe	cuttlefish
ekisengeijo	the shell
ebisengeijo	shelter
ekisamba	the bush
ebisamba	wildlife
ekisonga	a clue
ebisonga	signs
ekisorosoro	small
ebisorosoro	insects
ekisoma	what you are reading
ebisoma	what you read
ekisurugu	swelling
ebisurugu	worms
ekisizi	the spider
ebisizi	the kidneys
ekisyarazi	the sternum
ebisyarazi	electricity
ekitaba	not
ebitaba	not
ekitabaswa	what not to eat
ebitabaswa	what not to eat
ekitaka	soil
ebitaka	soil
ekitaraariire	unexpected
ebitaraariire	unexpected
ekisiika	the inheritance
ebisiika	heredity
ekisindikwa	assigned
ebisindikwa	assignments
ekisinziro	shelter
ebisinziro	moisture
ekisirya	food
ebisirya	food
ekisomabwire	what to read
ebisomabwire	what to read
ekisombera	what is it?
ebisombera	toothbrushes
ekisonko	the tongue
ebisonko	food
ekisoonante	the consonant
ebisoonante	tooth decay
ekisunsuzo	the thorax
ebisunsuzo	stimuli
ekisweko	the sword
ebisweko	disorders
ekitanakya	before
ebitanakya	before
ekisire	owl
ebisire	moles
ekisooko	the first
ebisooko	firstfruits
ekitabaraara	what's wrong?
ebitabaraara	uncomfortable
ekisiibo	the flock
ebisiibo	fasting
ekisingolezo	the necklace
ebisingolezo	necklaces
ekisumuruzo	the key
ebisumuruzo	keys
ekisuzi	smallpox
ebisuzi	pillows
ekisusu	the skin
ebisusu	caterpillars
ekitaatnutoole	what we don't know
ebitaatnutoole	what we don't know
ekitabujuguta	does not melt
ebitabujuguta	unhealthy
ekitakuli	uncertainty
ebitakuli	uncomfortable
ekitanake	what is it?
ebitanake	five
ekitangaazo	the light
ebitangaazo	signs and symptoms
endyakiro	reaction
endyanga	food
enfuuzi	owl
engaba	giving
engambisa	English
engano	the flower
enganja	fish
engurumbanyi	the caterpillar
endyaga	flood
eenimi	languages
enfaana	similarity
enfunjo	cloves
enfuuni	swelling of the stomach
enfumbi	clay
engabi	dangerous
engabwa	assigned
engagya	new
engamba	the tongue
engambo	gossip
enganga	the priests
enganjani	how many
enganyi	uncertainty
engasa	useful
engazi	blood
engendo	travel
engenzigenzi	other
engingo	muscles
engoga	clothing
engombe	the bull
engonero	signs
engonzi	heartbeat
engoro	the heart
engoto	toothbrush
enguha	what is it?
engumangane	a spider
engunu	the squirrel
engururrumi	thunderstorms
enguudo	roads
enguzi	corruption
enio	these
enjaza	fever
enjeru	white
engarukamu	how to respond
engaase	height
engenzi	a friend
engiga	the tongue
engo	wings
engobya	the shell
engoma	drums
engona	the crocodile
engondo	swallow
engonge	discomfort
engoonyo	mosquitoes
engorombe	the mine
engoye	clothing
engungumale	whining
engundizi	flower
engwara	cleverness
engweterano	the clutch
enimi	language
enjaahi	food
enjabule	to be happy
enjagirizi	anthrax
enjatu	three-toed sloth
enjenga	similar
enjoga	to force
enjoka	the serpent
enjoki	the snake
enjuba	the sun
enjunza	the spine
enkambi	camps
enkali	anthrax
enkango	cloves
enkenko	the caterpillar
enkerebe	the squirrel
enkana	one thousand
enjuza	flower
enjwaranna	the hand
enkaanaana enkaina	equal to equal to equal
enkaka	cattle
enkamba-be	camping
enkangaasi	the caterpillar
enkanjaiga	smallpox
enkaranga	the spider
enkarwa	the sword
enkeeho	the clock
enkenyera	fever
enkere	food
enkerembe	the coat of arms
entabukatabuka	uncontrolled
entaka	soil
entangize	the beginning
entaratazi	starfish
enteerabwire	be careful
enteeraniza	to be balanced
entemamuhoro	peace of mind
enterebuki	the butterfly
entimbo	wood
entoijo	the future
entongana	disagreement
entajumba	not to be swallowed
entama	sheep
entale	the wilderness
entambu	the walrus
entandikiro	the beginning
entangatangano	conglomerate
entarutahu	three
entebe	throne
entema	the thorax
entenyi	anthrax
entimagizi	the pillows
entimbure	flower
entondo	toothbrush
entongole	official
entoole	surrounding area
entumba	war
entulirra	the eye
entundwa	the kidneys
entungo	a treasure
entuuru	the grasshopper
enumi	the tongue
enyakibabi	the cedar tree
enturabusa	the sword
enturro	enturro
entuuha	painful
entuuyo	toothbrushes
entyabiri	two
enuuni	birds
enyaani	the truth
enyabatimbo	flowering plants
enyahukana	different
enyakabara	high winds
enyama	meat
enyamahamba	the grasshopper
entumbi	the middle of the night
entumbwe	the caterpillar
entuumuuki	the wind
entuuru	the grasshopper
enusu	coins
enyamaiswa	wild animal
enturuba	the butterfly
entuutu	toothpick
entwe	the head
enwa	mouth
enyabisaaniko	the spider
enyakibisi	green tea
enyamagaro n	and
Eba	Beware
Ebabura	What is missing
Ebiihabiiha	The Dangers
Ebondoiga	The Lesson
Ebundaaza	The washing machine
Eceeba	Sea urchin
Ecunda	The Cradle
Efoora	The Fountain
egaa rraamu,	and the fruit of the womb,
Ebaarra	What is it?
Ebabara	Painful
Ebaganizaamu	The Cause
Ebairuka	The Fugitives
Ebeteka	The Places
Ebiihiirra	The Challenges
Ebiihiraniza	The Barriers
Ebiijagura	Benefits
ebin ga	not
Ebumbiirra	The earthquake
Ebwa	The dog
Ecencura	The Ecencura
Ecumiitiriza	What to Meditate On
ecundacu nda,	the back of the neck,
Ecuraniza	Comparison
Ecwacwana	The swallow
Edikya	In the morning
Efaafaaniza	The Parable
Efuba	The stomach
Ega	What?
Egama	The Name
Egambiirra	What Does It Mean?
Eganyira	Get used to it
Eganira	Communicate
Egejageja	Temptation
Egemba	Flowers
Egemuliza	What is it?
Egesa	Examples
Egiza	Try
Egonyoorra	It is soft
Egurukya	Freshness
Ehaisa	In the past
Ehakana	Apostasy
Ebengeka	Few
Ehenyenga	Righteousness
Ehingahingisa	The Pursuit of Happiness
Ehoima	Anxiety
Eganya	Disagreement
Eganyiirra	Adapted
Egarukamu	The Answer
Egegecrra	Examples
Egema	The test
Egendera	The Standard
Egenya	The Flood
Egogeza	Speak
Egonesa	Explained
Egoora	Selfishness
Ebaabira	The Floodgates
Ehara	It's not
Ehemura	Hemorrhoids
Ehenya	One day
eh.tita,	e.tita,
Ehinguliriza	Searching
Ehiringisa	What is it?
Ehonga	The Flock
Ebooga	It is painful
Ehoza	Ehoza
Ehungura	It's a curse
Ehuuga	The Hurricane
Ebyohya	Fresh
Ejuura	The eucalyptus
Ekanga	The Nation
Ekaranduza	The Floodgates
Ekeerreema	The Squirrel
Ekima	The Thorn
Ekingira	The entrance
Ekonga	The Grasshopper
Ekopa	Copying
Ebotoora	What to Choose
Ehotora	Choosing
Ehugya	A sense of urgency
Ehuuta	The skin
Ebyahyaniza	Contradictions
ejw eka	at home
Ekaakura	Growth
ekagu ra,	the womb,
Ekaguza	What is it?
Ekeehereza	Self-confidence
Ekcndura	What is it?
Ekilka	What is it?
Ekooka	The First
Ekoonyera	Searching
Ekubakuba	What Protects Them
Ekubirana	What is it?
Ekugusa	Satisfying
Ekulingilrra	What's wrong with you?
Ekumba	Squirrels
Ekumbya	The New
Ekuusa	It's moving
Ekwasa	Useful
Emanya	Knowledge
Emanyisa	Warning
Emigiza	Signs
Emogora	The Grasshopper
Emwa	The Mouth
Ena	Four
Enegura	The Enegura
Enuuba	Enoch
Eoyini	Wine
Epaoka	Epaphras
Eraga	It shows
Ekubiriza	It Encourages
Ekukumika	What to Expect
Ekuliiriza	It makes you feel guilty
Ekulingura	What is it?
Ekuma	The Iron
Ekuuma	It Protects
Ekuuyuuya	Breathing
Emaanyura	Benefits
Embi	The Bad
Emererwa	Failure
Endereza	The Way
Eoka	The owl
Eoyuma	The Protector
Eragaza	It shows
Empooka	The pomegranate
Empugutani	The Puritan
Empulirro	Feelings
Empunu	Emptiness
Emyerande	Squirrels
Empya	The New
Emyehurro	Resting
Emyekuniko	Cockroaches
Emyesungo	Expectations
Empuku	The Cave
Empungira	Squirrels
Empurizana	Polish
Emputa	The wound
Empyo	The kidneys
Emyehaahiro	Promises
Emyehembo	The Rewards
Emyekuzo	Flowers
emyenda ya'bunyoro	soft clothing
Emyombekere	Buildings
Enaanaasi	Pineapple
Encamparya	Encamparya
Encikinya	What is it?
Encompya	New
Encwangya	Squirrel
Endaade	The Day
Endaawa	No
Endagaano	The Covenant
Endagalika	The Scream
Endahiro	A vow
Endale	The Way
Endangaazi	The Grasshopper
Endeberwamu	What to Expect
Endebolebo	gossip
Endambi	Flowers
Enamba	Numbers
Enceke	The Squirrel
Encu	Squirrels
Encuro	The Encouragement
Endabukya	Early in the morning
endamya	anthrax
Endebe	The Cup
Endehwa	Travel
Enderalera	The End of the World
Endigito	Weight
Endiirakumara	The End
Endimi	Languages
Endimiro	The Field
Endobo	The ball
Nyineeka afeera aka ye'.	My mother died in her sleep.'
fa	where
amaiso; amatu; obusaija	eyes; ears; nose
faabbiina	the congregation
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	If a storm comes and destroys your house, keep your house clean.
faafaana	similar
akafaafaanira mukyaro; akakira muno kufaafaanizibwa obulemu	a person with a disability; a person with a disability
faafaaniza	comparison
faahongana	understanding each other
nooha ayafaahonganisize abantu abo; ira kabataafahongaana? enju ye efaakaire kundi	Who has caused these people to stumble, that they should not stumble?
faakuuza	to ask
feekya	self-confidence
feerra	fever
Yesu Kiristo akatufeerra hamusalaba	Jesus Christ, who died for us on a cross
feerwa	feeling lonely
fiisa	fish
abaana be babiri akabafiisiza Kyaka	lost her two children
foorogora	to explain
footooka	scratching
omupiira gwa motoka ye gukafootookera omukiikaro ekibi	the ball of his car rolls into a bad spot
fooba	the fox
-amabingo bakozeseze ekiaali bakagafoobera kukikozesa kurungi.	- the rolls should be used with caution.
foobera	be submissive
fooka	the fox
omukozi yaleesire akamufookera kasaarre	a worker brought in to work for him
footookeerra	a picture
footora	selection
foototora	to choose
fuba	try
endagu ifubire	wheat
fuba	try
-amata agafiire gayine kunangwa	-dead milk should be avoided
fubata	work hard
omuhiiha tigufubasire kurungi hakyanzi; omukazi onu emihiiha ye tagifubasa kurungi habyanzi	a man does not wash his hands well at night; a woman does not wash her hands well at night
fubeera	try to be
fubeereza	persevere
fubeerra	be persistent
fubika	cover
bintu bibiri abakazi ebi bakira kufubikisa abaana baabo	two things mothers do better than breastfeeding their babies
fubira	persevere
Nyinenkuru nyowe akafubire batahi bange.	My grandmother worked hard for my grandchildren.
fufuza	search
obu yacwire omunkomo kuhika owaabu akafufuliza omukibira	when he dipped the copper into the oreb and poured out the copper into the woods
fuguta	wrapping
omuheesi aheesa n'omwojo ow'okumufutiraira omujuba; omujuba bagufugusa orulw orubohwa hankero yagwo	The sun shines on the prisoner and the child; the sun shines on the prisoner and the child shines on the prisoner.
fuka	be careful
amaizi akaba naagya kwoga akabanza kugafukya	water used for bathing
fukaana	be careful
bakafukaanira harubaju rw'ekisaaru baitu hatabeho n 'omu ayanagire mugenzi we hansi	they cuddle in front of each other but no one hits each other on the ground
fukama	to lie down
akaswerwa amabeere nigafukama kugwa	the baby's breasts are falling
fukiiriza	be careful
fukumuka	get up
fukumura	search
fuleeteza	be careful
fuma	get out
-omusuma bokamufumira omumadaara g'ekitobu.	- the thief will be shot in the back of the head.
fumba	cooking
nambere hataabaga nguudo abaana abaazindukaga, baafumbaga orume buli nyekya	Even before the streets were cleared, the children who woke up were cooking rice every morning
fumbagiriza	make a good impression
fumbasa	cooking
fumbata	get married
fumura	to extinguish
funda	learn
oruguudo rufimdiire nambere rukaba rutasemeriire kufimdira	a narrow road that is not worth crossing
fundaana	love one another
funduka	run away
/.omaiso	/. eyes
fumbatiza	baptize
fundukura	summary
ky 'akohiecupa yo sooda kugifundukuzo amaino	what do you use your soda bottle for tooth brushing
fundura	foundation
amaiso	the eyes
funduza	fuse
omwana afundwize kuturuka	the child is learning to walk
funga	think
fungwa	imprisonment
- fungwa ebijwaro	- tie your clothes
fungiirra	fungiirra
funguka	open up
-Funguka obyokunywa ebyo	- Open those drinks
funuura	explain
-batwasire omusigazi afunuura nyekyakara	- bring us a translator
funya	to find
-oyine kufunya esatii oli omukukora	- you have to get a scarf
funyiirra	be self-sufficient
-okufuunyiirra kubaho ayisomero	- the need to have a school
funyika	cover
furafura	be careful
tikihikire kufurafuurra omuntu omubantu	it is not appropriate to judge someone personally
furuka	fleeing
-nkafuruka omuka	- I ran away from home
furungu	forest
-Ebigambo bye bakabifurungura tinukwo yabigambire,ati.	- The words that the tinko said, he said.
furuuta	more than
omubiri gwe gukaba nigumufurutira Kampala, obu yaizire Tooro gwaleka	his body is still swelling in Kampala, when he came to Tooro he left
futana	get to know each other
-maama akaba nafutana omubazi gwa akaana ke	- a mother was carrying her baby
fuuha	headache
ente kukufuhira buli neekuseruza obulemu	cattle for each and every disabled
fuuha	headache
-nakufuuhira musijaa wee.	- I made you a hero.
fuuhiza	exhilarating
-nfuuhize ekibi	- I have sinned
fuuhya	warmth
fuuka	become
amaarwa g 'ebitooke gafuukira omubisisi; ekifaukisa amaanva nubwo obutagasi obugatunga gakyali omukiina	the leaves of the pomegranate turn to moss; the leafy vegetable, despite the lack of moisture, is still bitter
fuukeera	be reasonable
afuukeerra omubwire bw 'embeho; abatabani bakamufuruurra Mwenge	The wind blows, and the sons make wine to drink.
fuuta	breathing
fuutafuutiika	to be unstable
jaallima	cultivated
jaagira	to be
akahanda kafunzire nikalemesa arukujaagira kukajaagiirraamu	a crooked road prevents a traveler from crossing it
jaagiza	command
jaagura	to buy
jaagya	father
jaakaara	uncomfortable
kujaakaara kw 'endwara y 'omunywereerro kurogiirra ha bantu kwanga kuhuurra ebirukwegesibwa hali yo; emibu ejaakaaza omuswija; omunywereerro gujaalcaazibwa okuteesigangana kw'abarukugonzangana	The outbreak of the bubonic plague is characterized by people refusing to listen to instructions about it; mosquitoes infecting the worm; drunkenness is exacerbated by mistrust between lovers
jaamaara	healing
jaara	a century
ekijeerre kijaarra hamunwa gw 'ekiina kyakyo	the caterpillar feeds on its prey
jaata	the jaata
jabagira	to be remembered
jabajabura	exaggerated
jabanganiza	be reasonable
jabiza	answer
jabuka	get up
haroho abasaija abagira engeso y 'okubajabuurra ebyokulya enjara obu eba ebali kubi; amujabwize ebyokulya bitakahiire	If a man is in the habit of cutting off his food when he is hungry, he should eat it before it is ready.
jagaata	the mother
jagajaga	to be
naaganya kujagajagira omubantu	I don't like to gossip
jagaraza	be careful
jagiriza	preach
jaguza	be careful
jaika	be happy
jajura	fullness
jakura	it grows
jaliga	small
jamajama	Jamaican
janguurra	be open-minded
janjaara	hunger
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda kubujanjaaza omu bagenzi be	a person with a hearing impairment seeks help from people he knows; a person with a hearing impairment avoids seeking help from others
janjaba	flower
bakamusiima habw 'okujanjaba Isebo akamujanjabira ameezi mukaaga; tiinyina muntu w'okunjanjabisa omurwaire onu; akajanjabwa mukazi we	he was praised for treating Isebo for six months; there was no one to treat the patient; he was treated by his wife
janjagaarra	to keep
enkoko empangi ejanjagaraza amapapa gaayo eboine enkazi	a wild chicken that spreads its wings with its females
jarabanga	to see
jaragana	talk to each other
jaragatana	to get together
jaruka	run away
jeba	See also
jebeera	to be
abazaire obu baafiire boona yateekereza h 'okujeebeerra haamubura	When her parents died, she thought she was going to die.
janjagurwa	shattered
janjalika	commonplace
Jeera	Prison
jega	to lie down
jegeja	get close
-enjura ekajegajera esaaha isatu zoona,	and for three hours the sun shone with darkness.
jegejege	be self-sufficient
jegema	be careful
oburwaire yarwaire nubwo bwamujegemeze	suffered from a serious illness
jegemera	self-control
jejegurwa	to be exposed
akabatanga kujejegulirwa omuka ye	a person whose home has been burglarized
jegya	to eat
jeijcza	jeijcza
jenga	to eat
jenja	to move
jenjeera	be careful
jenjeka	self-consciousness
jogeza	try
jogolekwa	to be deceived
jogolikana	seeking each other
jogoma	people
jogomba	wanting
jogomora	shrinkage
jogorwa	the oppressed
joimoka	standing up
jonjogorwa	being rescued
jonjoma	coughing
jonjoora	to get married
jonjooza	healing
jookooza	people
jookooza	people
jooliima	self-sacrificing
juba	to hurry
enjura em11tiire yamujubya	the heavy rain drenched him
juba	to hurry
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	A mouth guard is a device that is used to hold a person's mouth open
jubuka	youth
jubura	rain
juga	gambling
ente ejugira omwana gwayo;	a cow restraining her calf;
juguma	the earth
ajugumiire kwikara omumbeho atajwaire kooti; embeho emujugumize	hastening to sit in the cold without a coat; trembling in the cold
jugumbya	flower
jugunya	to be discouraged
juma	a week
akam11jumira obugara	he/she/it is swallowing
jumagira	to be happy
jumba	the house
jumbika	clutch
jumbira	be happy
jumbinva	the jumbinva
jumbukira	remember
jumbutura	the jellyfish
jumbuurra	be careful
niinyija kukujumbuurra etaaba esaarra;	I will bring you out of the hand of your enemies;
jumbuutukira	suddenly
jumbuza	to ask
abaana baahanwaga okutajumbulizaaga omumaka g 'abandi	children were taught not to break into other people's homes
jumira	be patient
ente ejumiirra omwana gwayo; ekijumiza ente nukwo okutarora omwana gwayo omumaiso	A cow eats her calf; the glory of a cow is not to see her calf face to face
jumuurra	to kill
juna	each other
ataina w 'okumujunira tarwanira mu baingi; akamujunisa amaani ge; omuntu ajunwa obu atwara Yesu kuba Mukama we kandi mujuni we	he who has no one to save him does not rely on many; he saves by his own power; he is saved when he accepts Jesus as his Lord and Savior
junaana	Be kind to one another
noojunaanwa omusango gw 'okwemereza motoka omukiikaro ekitaikiriziibwe	you will be charged with 'taking an unauthorized seat'
junaaniza	think about each other
). amagoba	profits
junaaoizibwa	Junaaoized
junda	judo
ebijuma ebijunzire tibiriibwa; ebyenju bikajundira omuly ahuurro; obugoigo; ebihimba bye bijunziibwe kuteerwa enjura	dried fruits are not eaten; the leaves are eaten; the leaves are eaten; the leaves are eaten; the leaves are eaten for rain
jundeera	shed light
junga junjuruma ekikoomi baataireho ebinyansi bibisi kikajundeerra ebiro bibiri byona; bakata ebiti bibisi omumuurro ogurukubuguma byagujundeeza	junga junjuruma a furnace filled with green embers kept cool for two days; they cut down green trees and a hot fire kept it cool
juoga	sleeping
jungm1rra omwana obuheke bw'oburo a/ye	Jungm1rra child a/he
jungutuka	he/she/it has been
ekijungutukya itaka nukwo kuba n 'orwezoorurungi	the earth is shaken by a good wind
junguurra	be careful
junira	June
junjubara	June
ebijwaroebimu bijunjubaza omuntu	a person's eyebrows
junjubura	the juniper
omuntu ataina maino Jasobora kujunjuburo enyama; tinkabonaga ekijunjumiirra nikijunjumiirra omunju	a person without teeth He can eat meat; I have never seen a rabbit in my house
junjumuka	to wake up
abantu baingi nibeekaguza kiki ekimujujumukize bwangu kili	a lot of people are wondering what the quick fix is
junjuruma	June
junjuura	the junjuura
abaira baikirizaaga ngu enjunJuuzi tejunjuurra busa	the priests believed that the sun never sets
jura	jura
Jura	The Jura
- ekyamujulize nukwo kuburwa amata aga yanywaga buli kiro	- the lack of milk he drank every night
jurru	the sky
jurubana	sword
juruguuta	yellowing
juta	Judah
juubya	high
juuka	wake up
